Last Write Time Hive Offset     Type    Key     Name    Data    Volatile
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       Network          False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       Software         False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       System           False
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  AppEvents               False
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  ConsoleFalse
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  Control Panel           False
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  Environment             False
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  EUDC   False
2023-01-09 20:02:53.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  Keyboard Layout         False
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  NetworkFalse
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  SoftwareFalse
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  System False
2023-01-09 22:03:16.000000      0xd30c81068000  Key     \SystemRoot\System32\Config\BBI Events          False
2023-01-09 20:49:09.000000      0xd30c81068000  Key     \SystemRoot\System32\Config\BBI PackageImportance              False
2023-01-09 22:03:16.000000      0xd30c81068000  Key     \SystemRoot\System32\Config\BBI WorkItems               False
2023-01-09 19:15:11.000000      0xd30c81068000  REG_DWORD       \SystemRoot\System32\Config\BBI Version 3       False
2023-01-09 19:15:11.000000      0xd30c81068000  REG_DWORD       \SystemRoot\System32\Config\BBI MinorVersion    2      False
2023-01-09 20:08:38.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       AppEvents              False
2023-01-09 20:08:38.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       Console         False
2023-01-09 20:35:17.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       Control Panel          False
2023-01-09 20:11:21.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       Environment            False
2023-01-09 20:08:38.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       EUDC            False
2023-01-09 20:08:38.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       Keyboard Layout        False
2023-01-09 20:08:38.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       Network         False
2023-01-09 20:10:41.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       Printers               False
2023-01-09 21:47:18.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       Software               False
2023-01-09 20:09:25.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       System          False
2023-01-09 21:47:18.000000      0xd30c8290e000  Key     \??\C:\Users\Spongebob\ntuser.dat       Volatile Environment   True
2023-01-09 20:11:04.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     *               False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .3fr            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .3g2            False
